teamid_pk,runs,hits,homeruns,strikeouts,opponentruns,earnedruns,era
18,813,1419,220,1360.0,743,691,4.25
17,855,1432,249,1467.0,743,675,4.19
27,729,1379,213,1435.0,981,897,5.59
1,901,1554,245,1382.0,828,768,4.7
2,814,1378,256,1460.0,717,657,4.1
22,708,1443,182,1549.0,832,769,4.9
15,701,1328,227,1436.0,711,668,4.18
19,769,1354,223,1332.0,657,601,3.76
11,835,1502,224,1503.0,958,895,5.56
23,582,1333,149,1595.0,915,835,5.24
5,920,1538,288,1166.0,640,595,3.66
25,691,1356,162,1405.0,869,824,5.2
7,769,1368,220,1276.0,868,820,5.12
9,886,1414,279,1356.0,613,541,3.37
30,615,1326,146,1469.0,808,760,4.74
14,769,1366,250,1563.0,766,713,4.4
16,939,1547,307,1334.0,754,680,4.18
8,791,1445,242,1384.0,737,688,4.24
3,943,1493,306,1437.0,739,691,4.31
21,845,1384,257,1338.0,680,646,3.97
6,774,1369,215,1453.0,794,731,4.53
29,758,1497,163,1213.0,911,829,5.18
24,682,1281,219,1581.0,789,732,4.6
12,678,1332,167,1435.0,773,715,4.38
13,758,1305,239,1581.0,893,798,4.99
10,764,1336,210,1420.0,662,609,3.8
26,769,1427,217,1493.0,656,598,3.65
20,810,1374,223,1578.0,878,808,5.06
28,726,1299,247,1514.0,828,767,4.79
4,873,1460,231,1308.0,724,683,4.27
