teamid_pk,teamname
18,Arizona Diamondbacks
17,Atlanta Braves
27,Baltimore Orioles
1,Boston Red Sox
2,Chicago Cubs
22,Chicago White Sox
15,Cincinnati Reds
19,Cleveland Indians
11,Colorado Rockies
23,Detroit Tigers
5,Houston Astros
25,Kansas City Royals
7,Los Angeles Angels
9,Los Angeles Dodgers
30,Miami Marlins
14,Milwaukee Brewers
16,Minnesota Twins
8,New York Mets
3,New York Yankees
21,Oakland Athletics
6,Philadelphia Phillies
29,Pittsburgh Pirates
24,San Diego Padres
12,San Francisco Giants
13,Seattle Mariners
10,St. Louis Cardinals
26,Tampa Bay Rays
20,Texas Rangers
28,Toronto Blue Jays
4,Washington Nationals
